layer,gcc14-autovec-cute,ukernel-cute,pure-cute-cold-cache-64bitddr,pure-cute-cold-cache-128bitddr
conv_2,30.982146086243684,82.90001677354425,189.76032606287933,368.31092894608616
conv_3,229.72198294918834,469.4374343971235,938.5566474668875,1006.7268967018613
conv_4,31.071967769334485,91.95739677164748,289.90822582146774,510.8930187234635
conv_5,31.071967769334485,91.95739677164748,289.90822582146774,510.8930187234635
conv_6,113.45494372519967,264.5978118409838,616.9067015662803,908.6889623826114
conv_7,229.72198294918834,469.4374343971235,938.5566474668875,1006.7268967018613
conv_8,31.071967769334485,91.95739677164748,289.90822582146774,510.8930187234635
conv_9,113.45494372519967,264.5978118409838,616.9067015662803,908.6889623826114
conv_10,229.72198294918834,469.4374343971235,938.5566474668875,1006.7268967018613
conv_11,31.071967769334485,91.95739677164748,289.90822582146774,510.8930187234635
conv_12,115.18920297389019,270.0639286207055,673.3768446436528,953.2555960630433
conv_13,361.4648063469731,614.876490188622,993.609990245244,997.8680614895949
conv_14,61.845941254781685,170.8182687112995,548.8671203170568,819.9743059822376
conv_15,116.45360469576836,291.84849212085754,790.4311372639514,968.7256958355919
conv_16,200.40525703007833,414.8650558146107,944.4939751284479,972.6639406330456
conv_17,365.49356331723106,621.8015086525662,999.0925981938383,1001.2081007703266
conv_18,61.845941254781685,170.8182687112995,548.8671203170568,819.9743059822376
conv_19,200.40525703007833,414.8650558146107,944.4939751284479,972.6639406330456
conv_20,365.49356331723106,621.8015086525662,999.0925981938383,1001.2081007703266
conv_21,61.845941254781685,170.8182687112995,548.8671203170568,819.9743059822376
conv_22,200.40525703007833,414.8650558146107,944.4939751284479,972.6639406330456
conv_23,365.49356331723106,621.8015086525662,999.0925981938383,1001.2081007703266
conv_24,61.845941254781685,170.8182687112995,548.8671203170568,819.9743059822376
conv_25,199.64931198119302,417.63784263799505,919.4373859203321,981.1241490590718
conv_26,485.60837559986976,692.1531825216504,929.8827692988277,934.4827446843766
conv_27,110.84396091337322,271.40238652390485,640.1614731937055,825.1959398689452
conv_28,185.8747154494339,388.0715946018924,667.0345006653467,852.1259613989262
conv_29,288.93493902730484,515.4416817563941,830.450945530952,883.8125381658051
conv_30,487.7379942877152,694.7319714319194,933.4226844076993,937.8904158486525
conv_31,110.84396091337322,271.40238652390485,640.1614731937055,825.1959398689452
conv_32,288.93493902730484,515.4416817563941,830.450945530952,883.8125381658051
conv_33,487.7379942877152,694.7319714319194,933.4226844076993,937.8904158486525
conv_34,110.84396091337322,271.40238652390485,640.1614731937055,825.1959398689452
conv_35,288.93493902730484,515.4416817563941,830.450945530952,883.8125381658051
conv_36,487.7379942877152,694.7319714319194,933.4226844076993,937.8904158486525
conv_37,110.84396091337322,271.40238652390485,640.1614731937055,825.1959398689452
conv_38,288.93493902730484,515.4416817563941,830.450945530952,883.8125381658051
conv_39,487.7379942877152,694.7319714319194,933.4226844076993,937.8904158486525
conv_40,110.84396091337322,271.40238652390485,640.1614731937055,825.1959398689452
conv_41,288.93493902730484,515.4416817563941,830.450945530952,883.8125381658051
conv_42,487.7379942877152,694.7319714319194,933.4226844076993,937.8904158486525
conv_43,110.84396091337322,271.40238652390485,640.1614731937055,825.1959398689452
conv_44,293.6138417953989,508.96861541814326,751.1723361561994,873.7835183476682
conv_45,664.8475037308176,688.0892295971812,967.7230341687175,982.5101131998505
conv_46,168.1841318369812,328.16831240499215,502.0446251032084,625.4336526639968
conv_47,252.00542463993094,407.99067767505665,526.8041607070536,622.1807811771544
conv_48,349.77245729106744,524.8346484843842,589.832337460323,658.3465737276408
conv_49,662.8595673438028,858.1502375296913,969.0208371749953,983.0656921893003
conv_50,168.1841318369812,328.16831240499215,502.0446251032084,625.4336526639968
conv_51,349.77245729106744,524.8346484843842,589.832337460323,658.3465737276408
conv_52,662.8595673438028,858.1502375296913,969.0208371749953,983.0656921893003
conv_53,168.1841318369812,328.16831240499215,502.0446251032084,625.4336526639968
